train_id,train_name,train_type,section_id,scheduled_entry_time,scheduled_exit_time,priority,running_days
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-RE-AWR,07:43:00,08:33:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-AWR-BKI,08:39:00,09:24:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-BKI-JP,09:30:00,10:25:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12007,Synthetic Corridor Express 07,EXPRESS,SEC-NDLS-RE,07:12:00,08:04:00,HIGH,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12007,Synthetic Corridor Express 07,EXPRESS,SEC-RE-AWR,08:10:00,09:00:00,HIGH,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12007,Synthetic Corridor Express 07,EXPRESS,SEC-AWR-BKI,09:06:00,09:51:00,HIGH,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12007,Synthetic Corridor Express 07,EXPRESS,SEC-BKI-JP,09:57:00,10:52:00,HIGH,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12008,Synthetic Corridor Express 08,EXPRESS,SEC-NDLS-RE,07:39:00,08:31:00,HIGH,TUESDAY|THURSDAY|SATURDAY
TRN-12008,Synthetic Corridor Express 08,EXPRESS,SEC-RE-AWR,08:37:00,09:27:00,HIGH,TUESDAY|THURSDAY|SATURDAY
TRN-12008,Synthetic Corridor Express 08,EXPRESS,SEC-AWR-BKI,09:33:00,10:18:00,HIGH,TUESDAY|THURSDAY|SATURDAY
TRN-12008,Synthetic Corridor Express 08,EXPRESS,SEC-BKI-JP,10:24:00,11:19:00,HIGH,TUESDAY|THURSDAY|SATURDAY
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-NDLS-RE,08:06:00,08:58:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-RE-AWR,09:04:00,09:54:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-AWR-BKI,10:00:00,10:45:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-BKI-JP,10:51:00,11:46:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-NDLS-RE,08:33:00,09:25:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-RE-AWR,09:31:00,10:21:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-AWR-BKI,10:27:00,11:12:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-BKI-JP,11:18:00,12:13:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-NDLS-RE,09:00:00,10:02:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-RE-AWR,10:11:00,11:10:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-AWR-BKI,11:19:00,12:12:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-BKI-JP,12:21:00,13:27:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-NDLS-RE,09:27:00,10:29:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-RE-AWR,10:38:00,11:37:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-AWR-BKI,11:46:00,12:39:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-BKI-JP,12:48:00,13:54:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-NDLS-RE,09:54:00,10:56:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-RE-AWR,11:05:00,12:04:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-AWR-BKI,12:13:00,13:06:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-BKI-JP,13:15:00,14:21:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-NDLS-RE,10:21:00,11:23:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-RE-AWR,11:32:00,12:31:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-AWR-BKI,12:40:00,13:33:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-BKI-JP,13:42:00,14:48:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-NDLS-RE,10:48:00,11:50:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-RE-AWR,11:59:00,12:58:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-AWR-BKI,13:07:00,14:00:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-BKI-JP,14:09:00,15:15:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-NDLS-RE,11:15:00,12:17:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-RE-AWR,12:26:00,13:25:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-AWR-BKI,13:34:00,14:27:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-BKI-JP,14:36:00,15:42:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-NDLS-RE,11:42:00,12:44:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-RE-AWR,12:53:00,13:52:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-AWR-BKI,14:01:00,14:54:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-BKI-JP,15:03:00,16:09:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-NDLS-RE,12:09:00,13:11:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-RE-AWR,13:20:00,14:19:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-AWR-BKI,14:28:00,15:21:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-BKI-JP,15:30:00,16:36:00,MEDIUM,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12019,Synthetic Corridor Freight 19,FREIGHT,SEC-NDLS-RE,12:36:00,13:58:00,LOW,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12019,Synthetic Corridor Freight 19,FREIGHT,SEC-RE-AWR,14:10:00,15:28:00,LOW,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12019,Synthetic Corridor Freight 19,FREIGHT,SEC-AWR-BKI,15:40:00,16:51:00,LOW,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12019,Synthetic Corridor Freight 19,FREIGHT,SEC-BKI-JP,17:03:00,18:31:00,LOW,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12020,Synthetic Corridor Freight 20,FREIGHT,SEC-NDLS-RE,13:03:00,14:25:00,LOW,TUESDAY|THURSDAY|SATURDAY
TRN-12020,Synthetic Corridor Freight 20,FREIGHT,SEC-RE-AWR,14:37:00,15:55:00,LOW,TUESDAY|THURSDAY|SATURDAY
TRN-12020,Synthetic Corridor Freight 20,FREIGHT,SEC-AWR-BKI,16:07:00,17:18:00,LOW,TUESDAY|THURSDAY|SATURDAY
TRN-12020,Synthetic Corridor Freight 20,FREIGHT,SEC-BKI-JP,17:30:00,18:58:00,LOW,TUESDAY|THURSDAY|SATURDAY
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-NDLS-RE,13:30:00,14:52:00,LOW,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-RE-AWR,15:04:00,16:22:00,LOW,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-AWR-BKI,16:34:00,17:45:00,LOW,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-BKI-JP,17:57:00,19:25:00,LOW,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-NDLS-RE,13:57:00,15:19:00,LOW,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-RE-AWR,15:31:00,16:49:00,LOW,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-AWR-BKI,17:01:00,18:12:00,LOW,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-BKI-JP,18:24:00,19:52:00,LOW,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12023,Synthetic Corridor Freight 23,FREIGHT,SEC-NDLS-RE,14:24:00,15:46:00,LOW,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12023,Synthetic Corridor Freight 23,FREIGHT,SEC-RE-AWR,15:58:00,17:16:00,LOW,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12023,Synthetic Corridor Freight 23,FREIGHT,SEC-AWR-BKI,17:28:00,18:39:00,LOW,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12023,Synthetic Corridor Freight 23,FREIGHT,SEC-BKI-JP,18:51:00,20:19:00,LOW,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12024,Synthetic Corridor Freight 24,FREIGHT,SEC-NDLS-RE,14:51:00,16:13:00,LOW,TUESDAY|THURSDAY|SATURDAY
TRN-12024,Synthetic Corridor Freight 24,FREIGHT,SEC-RE-AWR,16:25:00,17:43:00,LOW,TUESDAY|THURSDAY|SATURDAY
TRN-12024,Synthetic Corridor Freight 24,FREIGHT,SEC-AWR-BKI,17:55:00,19:06:00,LOW,TUESDAY|THURSDAY|SATURDAY
TRN-12024,Synthetic Corridor Freight 24,FREIGHT,SEC-BKI-JP,19:18:00,20:46:00,LOW,TUESDAY|THURSDAY|SATURDAY
