train_id,train_name,train_type,section_id,date,scheduled_entry_time,scheduled_exit_time,actual_entry_time,actual_exit_time,delay_min,priority
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-BKI-JP,2025-01-01,10:51:00,11:46:00,11:17:00,12:21:00,35,HIGH
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-NDLS-RE,2025-01-01,08:33:00,09:25:00,08:46:00,09:44:00,19,HIGH
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-RE-AWR,2025-01-01,09:31:00,10:21:00,09:51:00,10:41:00,20,HIGH
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-AWR-BKI,2025-01-01,10:27:00,11:12:00,10:50:00,11:38:00,26,HIGH
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-BKI-JP,2025-01-01,11:18:00,12:13:00,11:48:00,12:44:00,31,HIGH
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-NDLS-RE,2025-01-01,09:00:00,10:02:00,09:06:00,10:13:00,11,MEDIUM
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-RE-AWR,2025-01-01,10:11:00,11:10:00,10:23:00,11:23:00,13,MEDIUM
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-AWR-BKI,2025-01-01,11:19:00,12:12:00,11:34:00,12:30:00,18,MEDIUM
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-BKI-JP,2025-01-01,12:21:00,13:27:00,12:42:00,13:51:00,24,MEDIUM
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-NDLS-RE,2025-01-01,09:27:00,10:29:00,09:34:00,10:40:00,11,MEDIUM
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-RE-AWR,2025-01-01,10:38:00,11:37:00,10:50:00,11:55:00,18,MEDIUM
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-AWR-BKI,2025-01-01,11:46:00,12:39:00,12:04:00,12:58:00,19,MEDIUM
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-BKI-JP,2025-01-01,12:48:00,13:54:00,13:08:00,14:17:00,23,MEDIUM
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-NDLS-RE,2025-01-01,09:54:00,10:56:00,10:05:00,11:11:00,15,MEDIUM
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-RE-AWR,2025-01-01,11:05:00,12:04:00,11:23:00,12:24:00,20,MEDIUM
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-AWR-BKI,2025-01-01,12:13:00,13:06:00,12:35:00,13:36:00,30,MEDIUM
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-BKI-JP,2025-01-01,13:15:00,14:21:00,13:45:00,14:52:00,31,MEDIUM
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-NDLS-RE,2025-01-01,10:21:00,11:23:00,10:28:00,11:31:00,8,MEDIUM
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-RE-AWR,2025-01-01,11:32:00,12:31:00,11:41:00,12:41:00,10,MEDIUM
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-AWR-BKI,2025-01-01,12:40:00,13:33:00,12:50:00,13:44:00,11,MEDIUM
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-BKI-JP,2025-01-01,13:42:00,14:48:00,13:54:00,15:02:00,14,MEDIUM
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-NDLS-RE,2025-01-01,10:48:00,11:50:00,10:51:00,11:56:00,6,MEDIUM
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-RE-AWR,2025-01-01,11:59:00,12:58:00,12:07:00,13:08:00,10,MEDIUM
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-AWR-BKI,2025-01-01,13:07:00,14:00:00,13:18:00,14:13:00,13,MEDIUM
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-BKI-JP,2025-01-01,14:09:00,15:15:00,14:24:00,15:30:00,15,MEDIUM
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-NDLS-RE,2025-01-01,11:15:00,12:17:00,11:19:00,12:23:00,6,MEDIUM
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-RE-AWR,2025-01-01,12:26:00,13:25:00,12:35:00,13:38:00,13,MEDIUM
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-AWR-BKI,2025-01-01,13:34:00,14:27:00,13:47:00,14:46:00,19,MEDIUM
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-BKI-JP,2025-01-01,14:36:00,15:42:00,14:57:00,16:05:00,23,MEDIUM
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-NDLS-RE,2025-01-01,11:42:00,12:44:00,11:45:00,12:53:00,9,MEDIUM
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-RE-AWR,2025-01-01,12:53:00,13:52:00,13:02:00,14:05:00,13,MEDIUM
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-AWR-BKI,2025-01-01,14:01:00,14:54:00,14:14:00,15:11:00,17,MEDIUM
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-BKI-JP,2025-01-01,15:03:00,16:09:00,15:22:00,16:28:00,19,MEDIUM
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-NDLS-RE,2025-01-01,12:09:00,13:11:00,12:17:00,13:24:00,13,MEDIUM
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-RE-AWR,2025-01-01,13:20:00,14:19:00,13:36:00,14:35:00,16,MEDIUM
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-AWR-BKI,2025-01-01,14:28:00,15:21:00,14:46:00,15:41:00,20,MEDIUM
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-BKI-JP,2025-01-01,15:30:00,16:36:00,15:51:00,16:59:00,23,MEDIUM
TRN-12019,Synthetic Corridor Freight 19,FREIGHT,SEC-NDLS-RE,2025-01-01,12:36:00,13:58:00,12:43:00,14:12:00,14,LOW
TRN-12019,Synthetic Corridor Freight 19,FREIGHT,SEC-RE-AWR,2025-01-01,14:10:00,15:28:00,14:24:00,15:46:00,18,LOW
TRN-12019,Synthetic Corridor Freight 19,FREIGHT,SEC-AWR-BKI,2025-01-01,15:40:00,16:51:00,15:59:00,17:15:00,24,LOW
TRN-12019,Synthetic Corridor Freight 19,FREIGHT,SEC-BKI-JP,2025-01-01,17:03:00,18:31:00,17:29:00,19:01:00,30,LOW
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-NDLS-RE,2025-01-01,13:30:00,14:52:00,13:39:00,15:03:00,11,LOW
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-RE-AWR,2025-01-01,15:04:00,16:22:00,15:16:00,16:37:00,15,LOW
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-AWR-BKI,2025-01-01,16:34:00,17:45:00,16:49:00,18:02:00,17,LOW
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-BKI-JP,2025-01-01,17:57:00,19:25:00,18:15:00,19:47:00,22,LOW
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-NDLS-RE,2025-01-01,13:57:00,15:19:00,14:04:00,15:32:00,13,LOW
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-RE-AWR,2025-01-01,15:31:00,16:49:00,15:44:00,17:04:00,15,LOW
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-AWR-BKI,2025-01-01,17:01:00,18:12:00,17:19:00,18:31:00,19,LOW
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-BKI-JP,2025-01-01,18:24:00,19:52:00,18:46:00,20:18:00,26,LOW
TRN-12023,Synthetic Corridor Freight 23,FREIGHT,SEC-NDLS-RE,2025-01-01,14:24:00,15:46:00,14:40:00,16:04:00,18,LOW
TRN-12023,Synthetic Corridor Freight 23,FREIGHT,SEC-RE-AWR,2025-01-01,15:58:00,17:16:00,16:17:00,17:37:00,21,LOW
TRN-12023,Synthetic Corridor Freight 23,FREIGHT,SEC-AWR-BKI,2025-01-01,17:28:00,18:39:00,17:52:00,19:05:00,26,LOW
TRN-12023,Synthetic Corridor Freight 23,FREIGHT,SEC-BKI-JP,2025-01-01,18:51:00,20:19:00,19:17:00,20:51:00,32,LOW
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-NDLS-RE,2025-01-02,04:30:00,05:22:00,04:31:00,05:23:00,1,HIGH
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-RE-AWR,2025-01-02,05:28:00,06:18:00,05:30:00,06:21:00,3,HIGH
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-AWR-BKI,2025-01-02,06:24:00,07:09:00,06:27:00,07:12:00,3,HIGH
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-BKI-JP,2025-01-02,07:15:00,08:10:00,07:18:00,08:13:00,3,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-NDLS-RE,2025-01-02,04:57:00,05:49:00,04:57:00,05:50:00,1,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-RE-AWR,2025-01-02,05:55:00,06:45:00,05:56:00,06:46:00,1,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-AWR-BKI,2025-01-02,06:51:00,07:36:00,06:52:00,07:37:00,1,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-BKI-JP,2025-01-02,07:42:00,08:37:00,07:43:00,08:40:00,3,HIGH
TRN-12004,Synthetic Corridor Express 04,EXPRESS,SEC-NDLS-RE,2025-01-02,05:51:00,06:43:00,05:52:00,06:45:00,2,HIGH
TRN-12004,Synthetic Corridor Express 04,EXPRESS,SEC-RE-AWR,2025-01-02,06:49:00,07:39:00,06:51:00,07:41:00,2,HIGH
TRN-12004,Synthetic Corridor Express 04,EXPRESS,SEC-AWR-BKI,2025-01-02,07:45:00,08:30:00,07:47:00,08:32:00,2,HIGH
TRN-12004,Synthetic Corridor Express 04,EXPRESS,SEC-BKI-JP,2025-01-02,08:36:00,09:31:00,08:38:00,09:34:00,3,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-NDLS-RE,2025-01-02,06:18:00,07:10:00,06:21:00,07:14:00,4,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-RE-AWR,2025-01-02,07:16:00,08:06:00,07:20:00,08:10:00,4,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-AWR-BKI,2025-01-02,08:12:00,08:57:00,08:16:00,09:01:00,4,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-BKI-JP,2025-01-02,09:03:00,09:58:00,09:07:00,10:02:00,4,HIGH
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-NDLS-RE,2025-01-02,06:45:00,07:37:00,06:48:00,07:40:00,3,HIGH
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-RE-AWR,2025-01-02,07:43:00,08:33:00,07:46:00,08:36:00,3,HIGH
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-AWR-BKI,2025-01-02,08:39:00,09:24:00,08:43:00,09:28:00,4,HIGH
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-BKI-JP,2025-01-02,09:30:00,10:25:00,09:34:00,10:30:00,5,HIGH
TRN-12008,Synthetic Corridor Express 08,EXPRESS,SEC-NDLS-RE,2025-01-02,07:39:00,08:31:00,07:47:00,08:40:00,9,HIGH
TRN-12008,Synthetic Corridor Express 08,EXPRESS,SEC-RE-AWR,2025-01-02,08:37:00,09:27:00,08:46:00,09:37:00,10,HIGH
TRN-12008,Synthetic Corridor Express 08,EXPRESS,SEC-AWR-BKI,2025-01-02,09:33:00,10:18:00,09:44:00,10:29:00,11,HIGH
TRN-12008,Synthetic Corridor Express 08,EXPRESS,SEC-BKI-JP,2025-01-02,10:24:00,11:19:00,10:35:00,11:30:00,11,HIGH
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-NDLS-RE,2025-01-02,08:06:00,08:58:00,08:08:00,09:00:00,2,HIGH
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-RE-AWR,2025-01-02,09:04:00,09:54:00,09:07:00,09:57:00,3,HIGH
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-AWR-BKI,2025-01-02,10:00:00,10:45:00,10:03:00,10:48:00,3,HIGH
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-BKI-JP,2025-01-02,10:51:00,11:46:00,10:56:00,11:51:00,5,HIGH
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-NDLS-RE,2025-01-02,08:33:00,09:25:00,08:35:00,09:27:00,2,HIGH
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-RE-AWR,2025-01-02,09:31:00,10:21:00,09:34:00,10:24:00,3,HIGH
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-AWR-BKI,2025-01-02,10:27:00,11:12:00,10:30:00,11:16:00,4,HIGH
TRN-12010,Synthetic Corridor Express 10,EXPRESS,SEC-BKI-JP,2025-01-02,11:18:00,12:13:00,11:22:00,12:17:00,4,HIGH
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-NDLS-RE,2025-01-02,09:00:00,10:02:00,09:05:00,10:07:00,5,MEDIUM
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-RE-AWR,2025-01-02,10:11:00,11:10:00,10:17:00,11:16:00,6,MEDIUM
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-AWR-BKI,2025-01-02,11:19:00,12:12:00,11:27:00,12:20:00,8,MEDIUM
TRN-12011,Synthetic Corridor Passenger 11,PASSENGER,SEC-BKI-JP,2025-01-02,12:21:00,13:27:00,12:29:00,13:36:00,9,MEDIUM
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-NDLS-RE,2025-01-02,09:27:00,10:29:00,09:37:00,10:40:00,11,MEDIUM
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-RE-AWR,2025-01-02,10:38:00,11:37:00,10:49:00,11:49:00,12,MEDIUM
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-AWR-BKI,2025-01-02,11:46:00,12:39:00,11:58:00,12:53:00,14,MEDIUM
TRN-12012,Synthetic Corridor Passenger 12,PASSENGER,SEC-BKI-JP,2025-01-02,12:48:00,13:54:00,13:02:00,14:08:00,14,MEDIUM
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-NDLS-RE,2025-01-02,09:54:00,10:56:00,09:58:00,11:00:00,4,MEDIUM
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-RE-AWR,2025-01-02,11:05:00,12:04:00,11:10:00,12:09:00,5,MEDIUM
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-AWR-BKI,2025-01-02,12:13:00,13:06:00,12:18:00,13:14:00,8,MEDIUM
TRN-12013,Synthetic Corridor Passenger 13,PASSENGER,SEC-BKI-JP,2025-01-02,13:15:00,14:21:00,13:23:00,14:30:00,9,MEDIUM
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-NDLS-RE,2025-01-02,10:21:00,11:23:00,10:24:00,11:26:00,3,MEDIUM
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-RE-AWR,2025-01-02,11:32:00,12:31:00,11:35:00,12:34:00,3,MEDIUM
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-AWR-BKI,2025-01-02,12:40:00,13:33:00,12:43:00,13:37:00,4,MEDIUM
TRN-12014,Synthetic Corridor Passenger 14,PASSENGER,SEC-BKI-JP,2025-01-02,13:42:00,14:48:00,13:48:00,14:54:00,6,MEDIUM
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-NDLS-RE,2025-01-02,10:48:00,11:50:00,10:52:00,11:54:00,4,MEDIUM
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-RE-AWR,2025-01-02,11:59:00,12:58:00,12:03:00,13:02:00,4,MEDIUM
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-AWR-BKI,2025-01-02,13:07:00,14:00:00,13:11:00,14:06:00,6,MEDIUM
TRN-12015,Synthetic Corridor Passenger 15,PASSENGER,SEC-BKI-JP,2025-01-02,14:09:00,15:15:00,14:15:00,15:23:00,8,MEDIUM
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-NDLS-RE,2025-01-02,11:15:00,12:17:00,11:18:00,12:20:00,3,MEDIUM
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-RE-AWR,2025-01-02,12:26:00,13:25:00,12:29:00,13:28:00,3,MEDIUM
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-AWR-BKI,2025-01-02,13:34:00,14:27:00,13:37:00,14:30:00,3,MEDIUM
TRN-12016,Synthetic Corridor Passenger 16,PASSENGER,SEC-BKI-JP,2025-01-02,14:36:00,15:42:00,14:39:00,15:46:00,4,MEDIUM
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-NDLS-RE,2025-01-02,11:42:00,12:44:00,11:45:00,12:49:00,5,MEDIUM
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-RE-AWR,2025-01-02,12:53:00,13:52:00,12:59:00,13:58:00,6,MEDIUM
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-AWR-BKI,2025-01-02,14:01:00,14:54:00,14:07:00,15:00:00,6,MEDIUM
TRN-12017,Synthetic Corridor Passenger 17,PASSENGER,SEC-BKI-JP,2025-01-02,15:03:00,16:09:00,15:09:00,16:15:00,6,MEDIUM
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-NDLS-RE,2025-01-02,12:09:00,13:11:00,12:12:00,13:14:00,3,MEDIUM
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-RE-AWR,2025-01-02,13:20:00,14:19:00,13:23:00,14:22:00,3,MEDIUM
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-AWR-BKI,2025-01-02,14:28:00,15:21:00,14:31:00,15:24:00,3,MEDIUM
TRN-12018,Synthetic Corridor Passenger 18,PASSENGER,SEC-BKI-JP,2025-01-02,15:30:00,16:36:00,15:33:00,16:40:00,4,MEDIUM
TRN-12020,Synthetic Corridor Freight 20,FREIGHT,SEC-NDLS-RE,2025-01-02,13:03:00,14:25:00,13:07:00,14:32:00,7,LOW
TRN-12020,Synthetic Corridor Freight 20,FREIGHT,SEC-RE-AWR,2025-01-02,14:37:00,15:55:00,14:44:00,16:03:00,8,LOW
TRN-12020,Synthetic Corridor Freight 20,FREIGHT,SEC-AWR-BKI,2025-01-02,16:07:00,17:18:00,16:15:00,17:27:00,9,LOW
TRN-12020,Synthetic Corridor Freight 20,FREIGHT,SEC-BKI-JP,2025-01-02,17:30:00,18:58:00,17:40:00,19:08:00,10,LOW
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-NDLS-RE,2025-01-02,13:30:00,14:52:00,13:32:00,14:54:00,2,LOW
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-RE-AWR,2025-01-02,15:04:00,16:22:00,15:06:00,16:26:00,4,LOW
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-AWR-BKI,2025-01-02,16:34:00,17:45:00,16:38:00,17:49:00,4,LOW
TRN-12021,Synthetic Corridor Freight 21,FREIGHT,SEC-BKI-JP,2025-01-02,17:57:00,19:25:00,18:01:00,19:29:00,4,LOW
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-NDLS-RE,2025-01-02,13:57:00,15:19:00,13:59:00,15:21:00,2,LOW
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-RE-AWR,2025-01-02,15:31:00,16:49:00,15:33:00,16:53:00,4,LOW
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-AWR-BKI,2025-01-02,17:01:00,18:12:00,17:06:00,18:18:00,6,LOW
TRN-12022,Synthetic Corridor Freight 22,FREIGHT,SEC-BKI-JP,2025-01-02,18:24:00,19:52:00,18:30:00,19:58:00,6,LOW
TRN-12024,Synthetic Corridor Freight 24,FREIGHT,SEC-NDLS-RE,2025-01-02,14:51:00,16:13:00,14:54:00,16:16:00,3,LOW
TRN-12024,Synthetic Corridor Freight 24,FREIGHT,SEC-RE-AWR,2025-01-02,16:25:00,17:43:00,16:28:00,17:46:00,3,LOW
TRN-12024,Synthetic Corridor Freight 24,FREIGHT,SEC-AWR-BKI,2025-01-02,17:55:00,19:06:00,17:58:00,19:09:00,3,LOW
TRN-12024,Synthetic Corridor Freight 24,FREIGHT,SEC-BKI-JP,2025-01-02,19:18:00,20:46:00,19:22:00,20:50:00,4,LOW
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-NDLS-RE,2025-01-03,04:30:00,05:22:00,04:30:00,05:22:00,0,HIGH
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-RE-AWR,2025-01-03,05:28:00,06:18:00,05:28:00,06:18:00,0,HIGH
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-AWR-BKI,2025-01-03,06:24:00,07:09:00,06:24:00,07:11:00,2,HIGH
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-BKI-JP,2025-01-03,07:15:00,08:10:00,07:17:00,08:12:00,2,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-NDLS-RE,2025-01-03,04:57:00,05:49:00,04:58:00,05:51:00,2,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-RE-AWR,2025-01-03,05:55:00,06:45:00,05:58:00,06:49:00,4,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-AWR-BKI,2025-01-03,06:51:00,07:36:00,06:55:00,07:40:00,4,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-BKI-JP,2025-01-03,07:42:00,08:37:00,07:47:00,08:43:00,6,HIGH
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-NDLS-RE,2025-01-03,05:24:00,06:16:00,05:28:00,06:20:00,4,HIGH
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-RE-AWR,2025-01-03,06:22:00,07:12:00,06:26:00,07:16:00,4,HIGH
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-AWR-BKI,2025-01-03,07:18:00,08:03:00,07:22:00,08:07:00,4,HIGH
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-BKI-JP,2025-01-03,08:09:00,09:04:00,08:13:00,09:09:00,5,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-NDLS-RE,2025-01-03,06:18:00,07:10:00,06:20:00,07:12:00,2,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-RE-AWR,2025-01-03,07:16:00,08:06:00,07:20:00,08:10:00,4,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-AWR-BKI,2025-01-03,08:12:00,08:57:00,08:16:00,09:01:00,4,HIGH
